road_name_in_googleMap,Accident_date,accident_time,vehicle_type,road_type,seviarity_of_accident,near_by_hospital,near_by_school,near_by_chrch,No_of_bildings_near_300m_of_accident_area,death
Aundh Road,2022-12-16 09:03:43.253438,01:05,Bus,Highway,Fatal,1,1,0,6,1
Paud Road,2022-03-06 09:03:43.253438,09:59,Pedestrian,Residential,Fatal,1,0,1,16,0
Karve Road,2022-08-09 09:03:43.253438,01:32,Pedestrian,Rural,Fatal,1,1,1,6,1
Sinhagad Road,2020-12-16 09:03:43.253438,18:02,Auto-rickshaw,Main Road,Minor,0,0,1,38,0
Aundh Road,2022-03-18 09:03:43.253438,08:51,Bicycle,Highway,Fatal,1,1,0,37,0
Shivaji Road,2023-03-04 09:03:43.253438,09:06,Pedestrian,Main Road,Major,1,1,0,48,0
Baner Road,2024-04-23 09:03:43.253438,10:52,Auto-rickshaw,Rural,Minor,1,1,0,12,0
Aundh Road,2024-06-07 09:03:43.253438,21:05,Bike,Main Road,Major,0,1,0,30,0
Karve Road,2020-12-20 09:03:43.253438,09:39,Bicycle,Main Road,Minor,0,1,0,8,1
Sinhagad Road,2024-02-05 09:03:43.253438,03:06,Bike,Rural,Minor,0,0,0,48,1
Paud Road,2022-05-30 09:03:43.253438,19:08,Auto-rickshaw,Rural,Minor,1,1,1,9,0
Karve Road,2020-08-05 09:03:43.253438,02:55,Truck,Highway,Fatal,1,0,0,38,0
Karve Road,2024-02-14 09:03:43.253438,00:30,Car,Main Road,Minor,0,0,0,30,1
Baner Road,2024-01-15 09:03:43.253438,00:56,Bus,Residential,Fatal,1,0,1,4,1
Kothrud Road,2022-02-18 09:03:43.253438,16:00,Truck,Residential,Major,0,1,1,44,0
Sinhagad Road,2024-04-23 09:03:43.253438,13:09,Bicycle,Rural,Minor,1,0,1,7,0
FC Road,2021-01-14 09:03:43.253438,11:33,Bicycle,Residential,Minor,0,1,1,25,1
Karve Road,2020-11-10 09:03:43.253438,11:18,Car,Highway,Minor,1,1,0,17,0
Kothrud Road,2022-09-15 09:03:43.253438,16:15,Bicycle,Rural,Minor,0,0,1,36,0
FC Road,2022-06-28 09:03:43.253438,07:55,Auto-rickshaw,Rural,Major,1,1,0,31,0
Sinhagad Road,2024-04-08 09:03:43.253438,05:49,Pedestrian,Main Road,Fatal,0,1,0,32,0
MG Road,2023-06-29 09:03:43.253438,02:19,Bicycle,Rural,Major,0,0,0,19,1
Shivaji Road,2022-09-02 09:03:43.253438,04:37,Truck,Residential,Fatal,0,1,0,35,1
Kothrud Road,2020-07-07 09:03:43.253438,02:41,Bicycle,Rural,Fatal,1,0,0,19,1
Satara Road,2019-12-06 09:03:43.253438,00:35,Bus,Main Road,Minor,1,1,0,39,0
MG Road,2021-05-04 09:03:43.253438,01:51,Pedestrian,Highway,Major,1,0,0,35,1
Shivaji Road,2020-03-19 09:03:43.253438,12:10,Bicycle,Residential,Fatal,1,0,1,2,0
Baner Road,2023-05-16 09:03:43.253438,03:51,Pedestrian,Rural,Fatal,1,1,1,9,0
Aundh Road,2023-11-01 09:03:43.253438,14:18,Bike,Highway,Minor,0,1,0,25,0
Paud Road,2021-04-26 09:03:43.253438,10:25,Car,Main Road,Major,0,1,1,46,0
Satara Road,2020-09-08 09:03:43.253438,09:08,Truck,Main Road,Minor,0,0,1,29,0
Baner Road,2023-02-09 09:03:43.253438,22:14,Bus,Highway,Fatal,1,1,0,37,0
Sinhagad Road,2023-03-29 09:03:43.253438,13:37,Truck,Main Road,Minor,0,1,0,21,0
Baner Road,2019-11-07 09:03:43.253438,05:43,Auto-rickshaw,Main Road,Major,1,0,1,0,1
Aundh Road,2024-01-03 09:03:43.253438,13:24,Car,Main Road,Minor,1,0,1,44,1
Sinhagad Road,2022-08-03 09:03:43.253438,18:20,Auto-rickshaw,Main Road,Major,1,0,0,39,0
Satara Road,2019-10-17 09:03:43.253438,13:13,Bicycle,Rural,Fatal,1,0,0,15,1
Aundh Road,2023-06-29 09:03:43.253438,19:01,Auto-rickshaw,Highway,Fatal,1,1,0,23,0
